2185,943
2185,943
2183,942
2178,941
2170,938
2166,936
2158,934
2147,931
2140,928
2134,926
2125,924
2122,923
2116,922
2108,922
2097,921
2089,920
2082,919
2072,919
2064,919
2056,919
2044,918
2037,916
2034,916
2022,915
2013,915
2009,915
1998,916
1989,916
1980,915
1971,914
1965,914
1955,914
1944,914
1933,913
1923,912
1914,911
1906,910
1894,909
1884,907
1874,906
1863,905
1856,904
1845,903
1834,901
1824,900
1814,898
1805,896
1794,896
1783,894
1773,894
1761,891
1752,889
1742,886
1732,883
1722,881
1710,881
1700,879
1692,878
1681,877
1671,876
1659,878
1650,874
1641,873
1630,871
1621,869
1611,868
1603,866
1595,865
1585,864
1576,861
1567,860
1559,858
1551,856
1541,856
1532,854
1524,853
1518,850
1513,849
1506,848
1499,845
1492,844
1488,841
1484,839
1478,837
1472,834
1466,833
1461,832
1455,830
1450,830
1443,829
1434,827
1428,826
1424,823
1417,823
1409,822
1402,821
1393,821
1385,819
1376,819
1366,819
1358,819
1348,819
1339,819
1330,819
1319,819
1309,819
1299,820
1289,819
1280,820
1269,820
1260,820
1250,821
1240,820
1231,820
1221,820
1210,820
1201,820
1193,819
1185,818
1176,818
1167,817
1160,816
1152,816
1145,814
1137,813
1129,813
1122,812
1114,812
1108,810
1102,810
1094,810
1087,809
1080,808
1073,808
1067,807
1059,808
1052,808
1044,807
1037,807
1031,806
1025,805
1018,805
1012,805
1007,804
1001,803
997,802
992,801
984,801
979,800
974,799
968,798
964,797
958,797
952,796
946,796
940,795
935,794
930,793
925,793
919,793
913,792
908,792
904,791
899,790
894,790
889,790
882,789
877,788
872,788
867,787
861,786
855,786
849,786
843,785
839,784
835,783
830,783
826,783
820,782
815,782
811,782
809,781
805,781
802,781
797,781
792,780
790,780
787,779
785,778
783,778
