2349,782
2349,782
2348,782
2346,782
2345,782
2342,782
2338,781
2331,779
2325,776
2319,774
2312,772
2307,771
2306,771
2303,770
2302,770
2301,769
2297,769
2293,769
2289,769
2284,769
2277,769
2269,770
2261,769
2254,769
2247,769
2240,769
2235,768
2228,768
2222,768
2216,768
2210,768
2204,768
2198,767
2191,766
2184,767
2176,767
2167,766
2159,766
2150,764
2142,764
2135,764
2128,763
2120,763
2112,762
2104,762
2096,762
2088,761
2080,761
2073,760
2064,760
2056,759
2047,758
2039,758
2031,757
2023,757
2014,756
2006,756
1997,756
1989,756
1981,756
1973,756
1965,755
1958,755
1949,753
1941,753
1933,753
1925,753
1917,752
1908,751
1901,750
1894,750
1887,749
1880,748
1872,747
1864,746
1857,746
1851,745
1844,744
1837,743
1830,742
1822,742
1815,741
1808,740
1801,739
1793,738
1786,738
1779,737
1773,737
1766,735
1759,734
1752,734
1745,732
1739,732
1732,730
1725,729
1718,729
1710,728
1704,727
1699,726
1691,725
1685,724
1677,723
1670,723
1665,723
1656,721
1649,721
1642,720
1635,720
1628,719
1620,718
1612,718
1605,718
1599,717
1592,717
1584,716
1577,715
1570,715
1563,714
1557,714
1550,713
1544,712
1537,712
1529,711
1523,711
1516,710
1509,710
1502,710
1494,709
1488,709
1482,709
1474,707
1467,707
1460,707
1454,706
1448,706
1440,705
1434,705
1427,704
1420,704
1415,704
1407,702
1401,702
1394,702
1388,701
1382,701
1375,700
1369,699
1363,699
1358,699
1353,698
1348,697
1344,697
1339,696
1334,696
1330,695
1327,695
1324,695
1321,694
1316,694
1312,694
1308,693
1304,693
1301,692
1298,692
1295,691
1290,691
1285,691
1282,690
1279,690
1277,689
1273,689
1268,688
1264,688
1260,688
1256,687
1254,687
1251,687
1247,686
1243,686
1238,686
1234,685
1231,685
1228,684
1225,684
1221,684
1217,683
1213,683
1211,683
1208,683
1206,682
1203,682
1201,682
1197,681
1193,681
1190,681
1188,681
1185,681
1182,680
1179,680
1175,679
1171,679
1168,679
1165,679
1163,678
1160,678
1156,678
1153,678
1149,678
1146,677
1144,677
1142,676
1139,676
1136,676
1134,675
1131,675
1128,675
1122,675
1118,675
1116,675
1116,674
1118,674
1119,673
1118,673
1115,673
1111,673
1108,673
1107,673
1107,672
1109,671
1109,671
1108,671
1106,671
1107,670
1106,671
1107,670
1106,670
1104,670
1101,670
1098,671
1096,671
1095,671
1095,671
1095,671
1094,671
